,@cant_adj,@desc_articulo,@desc_color,@desc_detalle_variante,@desc_marca,@id_articulo,@id_color,@id_compra,@id_detalle_variante,@id_marca,@id_moneda,@id_unidad,@id_variante,@medida_presentacion,@medida_variante,@nombre_comercial,@nro_doc_prov,@nro_item,@precio_tot_imp,@precio_unit,@presentacion,@tipo_doc_prov,@unidad,@unidad_medida_presentacion,@unidad_medida_variante,@variante,key_id,@variacion
0,2000.00,IMPRESION DE FORMULARIO,,,,30409,,726826,,,0,22,14930|1|1,-----,A4,FLEURQUIN MOLINA TRIANA GABRIELA,110332840011,1,2806,1.1500,-----,R,UNIDAD,-----,MM,FORMATO,1.0,
1,8.00,CIPERMETRINA,,,,4282,,717934,,,0,22,14972|6|85,1,250,MAISOR S.A.,211832770017,3,6400.0200000000004,655.7400,ENVASE,R,UNIDAD,L,G/L,CONCENTRACION,1.0,FORMA PAGO : 30 DÍAS.
2,68.00,FIPRONIL (INSECTICIDA),,,,31916,,717934,,,0,596,1|1|1,-----,-----,MAISOR S.A.,211832770017,6,41645.919999999998,502.0000,-----,R,JERINGA,-----,-----,-----,2.0,FORMA DE PAGO : 30 DÍAS
3,3.00,DIFETHIALONE,,,,8121,,717934,,,0,11,2429|8|85,1,25,MAISOR S.A.,211832770017,5,4176.0600000000004,1141.0000,ENVASE,R,KG,KG,%,CONCENTRACION,3.0,FORMA PAGO :30 DÍAS
4,250.00,TELA LIENZO,CRUDO,,,1295,152,726229,,,0,14,1|1|1,-----,-----,MARCOS NAHOUM S A,210116200014,1,38582.5,126.5000,-----,R,M,-----,-----,-----,1.0,ARTÍCULO 14047 CON LOGO
5,20.00,PIEDRA DE DIAMANTE REDONDA PARA TURBINA,,,,2569,,726853,,,0,22,569|1|1,-----,6,ERGON DENTAL S A,210260940011,1,2160.0100000000002,88.5250,-----,R,UNIDAD,-----,-----,NUMERO,1.0,
6,20.00,PIEDRA DE DIAMANTE REDONDA PARA TURBINA,,,,2569,,726853,,,0,22,280|1|1,-----,3,ERGON DENTAL S A,210260940011,2,2160.0100000000002,88.5250,-----,R,UNIDAD,-----,-----,NUMERO,2.0,
7,360.00,SACUBITRILO - VALSARTAN (COMPRIMIDOS),,ENTRESTO 200MG,SCIENZA URUGUAY,73959,,722200,255238,1386,0,22,95595|318|5929,60,97.2 - 102.8 (SAC - VAL),MURRY S A,214843360014,2,26577.939999999999,65.8000,ENVASE,R,UNIDAD,COMPRIMIDO (CM),MG,CONCENTRACION,1.0,
8,180.00,TAMOXIFENO (COMPRIMIDOS),,NOLVADEX-D,ASTRAZENECA S.A.,17055,,718949,105639,756,0,186,1929|236|2929,30,20,ASTRAZENECA S A,211208570010,1,9025.5100000000002,44.6896,BLISTER,R,COMPRIMIDO,COMPRIMIDO (CM),MG,CONCENTRACION,1.0,
9,336.00,VENLAFAXINA (COMPRIMIDOS),,ELAFAX LP 150,GADOR S.A.,17100,,717357,253703,125,0,186,14929|356|2729,28,150,LABORATORIO GADOR S A,211014180012,1,9304.1599999999999,24.6800,BLISTER,R,COMPRIMIDO,COMPRIMIDO (LIB.MODIF.),MG,CONCENTRACION,1.0,
10,540.00,POLIVITAMINAS (ASOCIACION) (COMPRIMIDOS),,DIARIS,ROEMMERS S.A.,36989,,705489,249331,745,0,186,1|236|2929,30,-----,ROEMMERS S A,210231300018,1,9010.6499999999996,14.8720,BLISTER,R,COMPRIMIDO,COMPRIMIDO (CM),-----,CONCENTRACION,1.0,
11,80.00,ALCOHOL ETILICO (ETANOL),,,,10052,,726185,,,0,6,6929|271|85,1,70,DROGUERIA PAYSANDU SOCIEDAD ANONIMA,211255450018,3,6051.1999999999998,62.0000,FRASCO,R,FRASCO,SOLUCION (L),%,CONCENTRACION,1.0,
12,30.00,ALCOHOL ETILICO EN GEL,,---,-----,37043,,726185,239263,842,0,12,6929|46|14967,1000,70,A G A M LIMITADA,211881970016,1,2269.1999999999998,62.0000,FRASCO,R,L,ML,%,CONCENTRACION,2.0,HIDRAVIT ALCOHOL EL GEL x 1000 ml con VALVULA DOSIFICADORA
13,20.00,ALCOHOL ETILICO EN GEL,,-----,-----,37043,,726185,246278,842,0,12,6929|46|14972,250,70,A G A M LIMITADA,211881970016,2,780.79999999999995,32.0000,FRASCO,R,L,ML,%,CONCENTRACION,3.0,HIDRAVIT ALCOHOL EL GEL x 250 ml con VALVULA DOSIFICADORA
14,50.00,IMPRESION DE FORMULARIO,,,,30409,,725294,,,0,22,14930|1|1,-----,A4,GRAFI 3 LIMITADA,212412720015,1,3294,54.0000,-----,R,UNIDAD,-----,MM,FORMATO,1.0,
15,50.00,IMPRESION DE FORMULARIO,,,,30409,,725294,,,0,22,14930|1|1,-----,A4,GRAFI 3 LIMITADA,212412720015,2,3294,54.0000,-----,R,UNIDAD,-----,MM,FORMATO,2.0,
16,2.00,CABLE ADAPTADOR (INTERLOCK),,,,12518,,726920,,,0,22,1|1|1,-----,-----,MERCOLUZ S A,211454500015,1,390.00999999999999,159.8400,-----,R,UNIDAD,-----,-----,TIPO,1.0,
17,30.00,GUANTES DE NITRILO,,,,14485,,727412,,,0,22,17000|1|1,-----,M,SAKIRA SOCIEDAD ANONIMA,214058390017,1,5160.6000000000004,141.0000,-----,R,UNIDAD,-----,-----,TALLE,1.0,
18,30.00,GUANTES DE NITRILO,,,,14485,,727412,,,0,22,1|1|1,-----,-----,SAKIRA SOCIEDAD ANONIMA,214058390017,1,5160.6000000000004,141.0000,-----,R,UNIDAD,-----,-----,TALLE,2.0,
19,1.00,REPARACION DE CAMARA FRIGORIFICA,,,,3314,,727979,,,0,22,1|1|1,-----,-----,ELECTROAIRE SRL,215506910017,1,19520,16000.0000,-----,R,UNIDAD,-----,-----,-----,1.0,
20,4.00,LUMINARIA PARA TUBO LED,,,,72945,,726422,,,0,22,19483|1|1,-----,2 X 36,FIERRO VIGNOLI S A FIVISA,210000400017,1,5703.4300000000003,1168.7360,-----,R,UNIDAD,-----,UNIDAD X W,CANTIDAD DE TUBOS x POTENCIA,1.0,
21,25.00,TUBO FLUORESCENTE CALIDO,,,,12333,,726422,,,0,22,3529|1|1,-----,36,FIERRO VIGNOLI S A FIVISA,210000400017,2,1073.02,35.1810,-----,R,UNIDAD,-----,W,POTENCIA,2.0,
22,25.00,TUBO FLUORESCENTE T5,,,,68734,,726422,,,0,22,1729|1|1,-----,18,FIERRO VIGNOLI S A FIVISA,210000400017,3,1073.02,35.1810,-----,R,UNIDAD,-----,W,POTENCIA,3.0,
